frame,thorax_x,thorax_y,thorax_z,thorax_score,neck_x,neck_y,neck_z,neck_score,a_L1_x,a_L1_y,a_L1_z,a_L1_score,a_L2_x,a_L2_y,a_L2_z,a_L2_score,a_R1_x,a_R1_y,a_R1_z,a_R1_score,a_R2_x,a_R2_y,a_R2_z,a_R2_score,leg_f_L1_x,leg_f_L1_y,leg_f_L1_z,leg_f_L1_score,leg_f_L2_x,leg_f_L2_y,leg_f_L2_z,leg_f_L2_score,leg_f_R1_x,leg_f_R1_y,leg_f_R1_z,leg_f_R1_score,leg_f_R2_x,leg_f_R2_y,leg_f_R2_z,leg_f_R2_score,leg_m_L1_x,leg_m_L1_y,leg_m_L1_z,leg_m_L1_score,leg_m_L2_x,leg_m_L2_y,leg_m_L2_z,leg_m_L2_score,leg_m_R1_x,leg_m_R1_y,leg_m_R1_z,leg_m_R1_score,leg_m_R2_x,leg_m_R2_y,leg_m_R2_z,leg_m_R2_score,a_R0_x,a_R0_y,a_R0_z,a_R0_score,a_L0_x,a_L0_y,a_L0_z,a_L0_score,leg_f_R0_x,leg_f_R0_y,leg_f_R0_z,leg_f_R0_score,leg_f_L0_x,leg_f_L0_y,leg_f_L0_z,leg_f_L0_score,leg_m_R0_x,leg_m_R0_y,leg_m_R0_z,leg_m_R0_score,leg_m_L0_x,leg_m_L0_y,leg_m_L0_z,leg_m_L0_score,eye_L_x,eye_L_y,eye_L_z,eye_L_score,eye_R_x,eye_R_y,eye_R_z,eye_R_score,m_L0_x,m_L0_y,m_L0_z,m_L0_score,m_R0_x,m_R0_y,m_R0_z,m_R0_score,m_L1_x,m_L1_y,m_L1_z,m_L1_score,m_R1_x,m_R1_y,m_R1_z,m_R1_score
20,8.174788183246463,0.11248397415625358,211.34709706189756,0.029480203342692468,8.194459339858875,-1.3728748378820306,213.15610803374656,0.048706832622371465,6.877779074942754,-1.3137214896587632,211.3540480853041,0.008014300162206823,,,,0.0,8.200627472935064,-0.8281984023870448,214.61008761409877,0.002121102433093299,,,,0.0,8.151797222060765,-1.6629241418369847,212.92751543292275,0.0028450194360350334,,,,0.0,8.771455198783297,-0.7891770398834335,215.54306799767744,0.00891887046581131,,,,0.0,8.539391128462652,-1.7770063070269932,213.54748564222112,0.002186817487180924,,,,0.0,9.647922275912048,0.000244655065531932,216.97472677043967,0.008443399047796786,9.825870130416616,1.184464230360341,220.0480343338678,0.001978163350261755,,,,0.0,,,,0.0,9.069891845761427,-1.0771096804652183,216.48636135175974,0.005954550106345267,8.821057969313442,-1.4751936937623644,215.3962202800296,0.0029869212325676327,9.094404943694194,-0.5407663246742577,217.11253623734302,0.00563009197751057,8.639793627803975,-1.105319120093211,215.70191127557848,0.0026207032751054795,,,,0.0,8.137461231219273,-1.306736423359269,213.63088995530617,0.005346976076080588,,,,0.0,,,,0.0,,,,0.0,,,,0.0
21,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
22,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
23,8.195660860350834,0.09520332065135895,211.31193621175058,0.02633251483543539,8.222871186691101,-1.3922366894521394,213.3104209060803,0.03163834781180674,,,,0.0,,,,0.0,8.063499674355965,-0.7238449600467989,214.54890526053435,0.002091905364810705,,,,0.0,8.088815102003887,-1.5926046951865993,213.02500647504064,0.002901060753085759,,,,0.0,8.766847747665235,-0.7777022399659279,215.70141883325115,0.007708837044484104,,,,0.0,8.39497901647838,-1.7054005058100121,213.58572975809983,0.002203091802033945,,,,0.0,9.669058363852283,-0.013983986957937821,217.00012577923485,0.007926147142551949,9.845825766881338,1.166997809550431,220.0189733770882,0.002044030231621605,,,,0.0,,,,0.0,,,,0.0,8.678818627614177,-1.3598020256812133,215.47755323038206,0.0030645059619182017,9.024199405264394,-0.46086625564292605,217.15716417345863,0.006081753467264425,8.533292158475463,-1.0224044501431104,215.72567906423376,0.0027849270581543316,,,,0.0,8.071032516447772,-1.2728755949881878,213.64416721668877,0.005159528205746363,,,,0.0,,,,0.0,,,,0.0,,,,0.0
24,8.125504375324933,0.17279706678405962,211.4936871312416,0.16360219486380184,8.24794971425974,-1.41784983898175,213.3329850258189,0.02573248094046767,,,,0.0,,,,0.0,8.054052562577432,-0.7453732473736373,214.49678256720222,0.0021689341466415396,,,,0.0,8.055453635137592,-1.5618810673294248,212.9982545433016,0.003144070401528795,,,,0.0,8.724974123165461,-0.7326038044988975,215.7360024774612,0.0074242186805399905,,,,0.0,8.333071163913562,-1.7229844282704538,213.51349670110585,0.0022324613289834887,,,,0.0,9.449448385933348,-0.06903742620259581,211.36107715703122,0.010262173103450019,9.808555479074833,1.2085028072790849,220.04270495864637,0.0020201883239295455,,,,0.0,,,,0.0,,,,0.0,8.697318708513283,-1.3367118701762282,215.4777758050093,0.003115257813254591,9.00353149616115,-0.4784773868088152,217.16139294024038,0.0064238986390903405,8.517475294510369,-1.0093364765119137,215.75236429249725,0.002751876390463181,,,,0.0,8.046539281413958,-1.2457368311943766,213.67543090441285,0.005311781098951545,,,,0.0,,,,0.0,,,,0.0,,,,0.0
25,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
26,8.091707442924324,0.16226057720647297,211.5028405644173,0.12677703332427978,8.233500144057905,-1.403510786310116,213.3223154885486,0.03822306540861081,,,,0.0,,,,0.0,7.999146795603643,-0.705506009302563,214.54462789443792,0.00207304991822061,,,,0.0,8.070827231439248,-1.581784602918999,212.99000100718771,0.00349311095541516,,,,0.0,8.684721888746955,-0.7330042074810766,215.56643889134318,0.007495458691323551,,,,0.0,8.22142659521221,-1.6557339222863685,213.53350114234217,0.002255249320292554,,,,0.0,9.65069031050075,-0.0048432967325739845,216.99952761064495,0.007782689145428661,9.78837880677377,1.2250303248276404,220.02706412866172,0.0020266809337722395,,,,0.0,,,,0.0,,,,0.0,,,,0.0,8.986386249024276,-0.46591891386964274,217.20894168433293,0.006863709359921022,8.48691136788756,-0.9843586362609161,215.74232965333198,0.002837692772953779,,,,0.0,8.018651963679355,-1.2734300237869707,213.68139807709898,0.004700800268391539,,,,0.0,,,,0.0,,,,0.0,,,,0.0
27,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
28,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
29,8.089292743348519,0.14748154267216734,211.47205656105973,0.10175801903453922,8.20534641820957,-1.387874509671308,213.36016053554576,0.07160931179838267,,,,0.0,,,,0.0,7.85952703666088,-0.621898549503739,214.4936614665318,0.0020031330822129056,,,,0.0,7.99309615856531,-1.5128442561676803,213.05858202972456,0.003944152934167374,,,,0.0,8.686681038520815,-0.6815139402412835,215.45532318061964,0.007472926425538158,,,,0.0,8.153263032220234,-1.646498120228018,213.54684413453816,0.0023289859287720814,,,,0.0,9.610936005485353,0.019602608646913145,216.97028628267154,0.007436049198111753,9.778777729439023,1.2603754547923727,220.08098842306748,0.0020605612418991056,,,,0.0,,,,0.0,,,,0.0,,,,0.0,8.923983611379438,-0.3779175502904049,217.2707518154482,0.007793759133217677,8.520789473188932,-1.0339923649309257,215.78982934072454,0.0030059981189698723,,,,0.0,7.971982103883493,-1.2829114145772789,213.6376288670032,0.004396934339687961,,,,0.0,,,,0.0,,,,0.0,,,,0.0
